Resized (0-255),Inverted (0-255),Normalized (0-1)
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
37,218,0.8549019607843137
39,216,0.8470588235294118
42,213,0.8352941176470589
43,212,0.8313725490196079
71,184,0.7215686274509804
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
46,209,0.8196078431372549
46,209,0.8196078431372549
240,15,0.058823529411764705
255,0,0.0
69,186,0.7294117647058823
41,214,0.8392156862745098
39,216,0.8470588235294118
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
63,192,0.7529411764705882
30,225,0.8823529411764706
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
45,210,0.8235294117647058
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
46,209,0.8196078431372549
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
50,205,0.803921568627451
20,235,0.9215686274509803
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
255,0,0.0
230,25,0.09803921568627451
43,212,0.8313725490196079
21,234,0.9176470588235294
